id,ha_text,ig_text,ha_ig_text
4076,allah yabada sa a uban baba,,
4077,nima haka can t wait     the best film of kannywood rariya,,
4078,wlh kuwa   ina bayanki nima    footballfamily,,
4079,kema allah ya saka miki da alkairi,,
4080,wannar itace magana ta gaskiya da adalchi,,
4081,wlh harga allah ina matukar kaunarki har cikin zuciyata amma kash kinfi karfina wlh domin kuwa ko pure water bazaki iya aikena siye ba          amma dan girman allah kisakani a cikin jerin kasoya,,
4082,allah ya karemu daga sharrin masu sharri  aniyr kowa ta bishi,,
4083,allah sarki baba buhari aikin ka yana kyau allah yataimaka,,
4084,allah yakawo muna sauki aka sarmu,,
4085,allah ya kyuta nagaba,,
4086,allah ya shiriye ki   da sauran mu gabadaya,,
4087,yaban kai atu dakyau ai,,
4088,allah jikanka dadi,,
4089,lallai duniya tazo qarshe   allah yasa mu cika da imani,,
4090,allah ya karawa general girma  ya kara maka lafya    ameen,,
4091,tohfah subhanallah  a kasar tamu mai tsarki,,
4092,mah fav kannywood actress        so much love here diva,,
4093,muna taya murnar samun mukami,,
4094,allah ya jikansa ya sa ya huta,,
4095,allah ya kawo musu dauki allah ya shiga lamuran su  ya kuma fitar dasu a cikin wannan halin da suke ameen  ya rabbi samawati   allah ya karai musulmai baki daya wanda suka ransu allah ya jikan su,,
4096,allah yakaimu lpy,,
4097,i love this kind ov puzzle rahama sadau   priyanka saaak,,
4098,dr hakeem baba says it all  allah ya saka ma dr hakeem da alkhairi muna bayan sa,,
4099,allah yakarba     amma itakuma kocece acikin malaman nigeria oho,,
4100,nigeria sai baba allah kataimaki babanmu akan aikin alheri allahumma amin,,
4101,allah ubangiji ya yarda,,
4102,mu yan nigeria    ba abunda da zamu ce ila allah ya albarkaci wanan gumnati  kuma allah ya taya shi riko  kuma allah ya tonama wa yan da basa goyon bayan wanan tafiyar ta canji  allah ya kare mun,,
4103,so what allah yakiyaye hanyan,,
4104,very interesting    king of kannywood   allah yaja zamaninka,,
4105,ai bashine nakoraba kawai  har kaema yakamata kakori kanka  da sauran yan majalisar baki daya  kai harma da gwamnoni baki daya sbd komi naku gudanae    allah kawomuna shuwagabanni adillae,,
4106,allah yabar sarki sunki allah yaso ka huta dan amadu,,
4107,ma sha allah giskiya allah yayi halita a wajen nan wlh fati kina bar geni da ke da hajinya rahama saboda ku mai allah yayi muku ga kudi da kyau gaskiya allah ja zamanin ku amin,,
4108,allah yasa babu dan kasarmu,,
4109,mai hakuri mawadaci,,
4110,allah yakara tsare imaninmu karki damu no body is above mistake allah ya yafemana gaba daya and rahama kinada makiya ni nagani wllhy so you have to be very careful akan shigar dazaki ringa yi pls,,
4111,ai daga ganin  yan wasan ma nasan wannan movie din baza aji kunya ba     ko jini ya hau zai sauka,,
4112,niger kasata         kuma ban fata ta shiga sauran kasasshe,,
4113,sai yanzu naji labari mai dadi,,
4114,allah ya jikan sa allah ya gafarta masa,,
4115,zan kalla anjima in shaa allah,,
4116,am into cake business and small chops kindly follow my page thank you  mudai alhamdulillah iyaye sunbamu tarbiyya mekyau muyi sanaa munemi na kanmu mu kama kanmu a gidan iyayanmu  allah kuma ya k,,
4117,kwarai kuwa rahma ai school life is the best,,
4118,badan ina son ganduje ba danayi dariya fa,,
4119,director extraordinaire  ta allah ba ta mutum ba  dan adam baya mutuwa sai dai ranar sa ta kare  yau ranar murna ce ga ni da iyali na,,
4120,gaskiya muna goyon baya akan haka  sannan kuma muyi addu ah akan haka allah yasa haka shine mafi alkhairi  kuma muna ro on allah ya  ara taimaka ma shuwagabannimmu akan mulkinsu  kuma muna  ara r,,
4121,allah ya jaa xamanin our one and only director,,
4122,allah ya karbi shahadarshi ya sa mutuwa hutuchi allahu akbar kabiran,,
4123,lgbt      wa iyazubillah allah ya shiryeki shirin addini,,
4124,hasashe ta tabbata   sorry mahmud abin yayi gaskiya allah karo basira,,
4125,lallae wannan mai sa a neh celebraty na aje aikinta tana tuninshi,,
4126,allah y kara maka basira aminu saira,,
4127,kunyi kokari sosai wurin wannan zabe na najeriya  fiyeda wasu gidajen jaridu,,
4128,allah ya tsare mana kasarmu da alummar arewa dama sauran dukkan wani mai son zaman lafiya dake a nigeria  allah ya daukaki kasata nigeria,,
4129,allah zai kare su da kariyashi insha allahu allah kakara daukaka musulunci da musulmi,,
4130,baki tabayin kyau irinhaka ba,,
4131,allah sarki  allah ya tsare gaba,,
4132,dani kikazo kikayi kissing du dayafi wallahi,,
4133,ba abunda zasu iya yimai da yardar allah kuma allah zaici gaba da kare mana zulum,,
4134,hahaha mukam zamuje mugawasa namubada hakurine allah yabamai rabosa a kawai amen summa amen,,
4135,chelsea ayidai mugani     mu liverpool zamu sake sha ta gabanku da yardar allah,,
4136,innalillahi wa inna ilaihirrajiuun  allah muntuba ka tausayamana,,
4137,alhaji yawale a sauka lafiya,,
4138,toh ae daman black man is more better and active than white man  a fanni daban daban yawanci bakaken fata sune jagaban  dukda nii brown neh da launin fari farii   amma black people are gooodddddd,,
4139,gaskia bai chanchanci jagoran addinin musulunci ba  addini na mai addinin islama ne  allah yasa mudace dai,,
4140,ubangiji allah ya bada sa a     allah ya kuma taimaka  allah yasa ayi a sa a,,
4141,allah ya saka da alkhairi shehin malami,,
4142,innalillahi wayyo allah dan allah gwamnati kisa baki adaena kashe su  basuda laifi gara kuyi sasanci tsakaninku da adinga kashesu babu gaira babu dalili  dan allah kuyi wani abu akae mutuwa kawae,,
4143,gaskiya ne sadau yayi sosai,,
4144,hhh anayi munajin dadee,,
4145,this   made my day  allah ubangiji ya bada lada   ramadankareem,,
4146,wannan haka yake muna gdy    allah yasa wadanda alayi domin su sukyara amin,,
4147,fatan nasara ga man city  up barca,,
4148,wannan rohoton zainab is emotional,,
4149,allah jiqan sarkin mota ameen,,
4150,maganar gaskiya duk musulmi kwarai zaiji dadi sosai da irin wanan hukumci  muma nan muna fatan allah ya kawo irin wanan doka anan afrika,,
4151,allah yamaimaitamana yakarbi ibadunmu,,
4152,allah sarki masoyiya true love never die wlh sonki a jinina yake is more than what you think,,
4153,really baban yarinya amma fa yakamata aboye gashin,,
4154,yau india ba zaman lfy kenan tab  allah ya kyauta,,
4155,anya akwai wanda tafiki kyau a duniya kuwa   so cute     j aime mon bebe,,
4156,alhaji kamaye dai gsky yyi kyau sosai,,
4157,you can give d both at d same time  allah ya bada ladan niyyarh ameen,,
4158,innalillahi wa inna ilaihi raju un allah ya kawo mana karshen wannan masifan,,
4159,allah muke ro o ya ji an mai martaba sarkin zazzau  alhaji  dr   shehu idris cfr  allah ya yafe mishi kurakuransa na sarari da na  oye  ameen  allah yasa wanda zai gaje shi ya gaji adalci  ha uri,,
4160,allah   yay mana maganin wannan musiba,,
4161,na yaushe kuma   ai mu yanzu komai mun gani buhari allah dai ya ida lafiya,,
4162,allah yayi masa rahama yakuma basu hakurin rashin sa,,
4163,ameen   yasa masu taimakon addinin musulunci ne a kowa yanayi akowani lokaci,,
4164,allah yasa haka shine mafi alkairi kuma allah ya taimaka mana baki daya,,
4165,allah yaja zamanin sarki allah yaqara lapiya mai amfani,,
4166,tabb tor mu mun lashe knan,,
4167,waya aljannar duniyya,,
4168,to allah subhanahu wata ala yadubemu da idon rahma yakawomana karshen wannan ta addancin  yahayyu ya qayyoom,,
4169,oga al amari yana dadi fa allah ya bamu sa a boss,,
4170,allah yasaka mana mutanen kaduna      9k,,
4171,allah ya yafemana dan wannan watan na ramadan,,
4172,samun irin wannan bawan allah yana da matukar wuyan gaske  allah shi kare muna kai,,
4173,ameen ameen sarki masha allah,,
4174,gashi kwa yana murmushi,,
4175,ameen summah amen,,
4176,allah yayi muna maganin wa anan fitintunu,,
4177,biyayya ta qare ai  allah ya ji qan maxa,,
4178,kihuta lovely sis,,
4179,ha i anin gaskiya na kasance mutum mai ra ayin shiga masana antar film   amma bansan yadda zansamuba  cikin damar da allah yabaka don allah amin hanya  ina neman wannan don allah    08153701781,,
4180,kowanne musulmi na bukatar addua ne  idan har yayi ba daidai ba  pls pray for her  and ur advice should be in a right way without insults,,
4181,wallah ina son ganin irin wannan al adar,,
4182,addu   i sune mafi a ala kuma mutane muji tsaron abubuwan da mu ke aikatawa ne allah yake kama mu da su allah ya jikan su da rahama amin,,
4183,abun ma sai gaba gaba yake  allah ya kare,,
4184,kyakkyawar hulda ake cewa,,
4185,allah yasa al barka a rayuwarsa,,
4186,allahu akbar       wallahi nayi matukar jin tausayi mata nan  gashi banda kudin da zan iya taimaka mata  amma da dage da roka mata allah ya bata lafiya  ya kuma  are bayin sa daga wannan cutar  a,,
4187,sai ki soni   nima mai sonki ne ai,,
4188,allaah kyauta  end of d world,,
4189,alllah sarki  su ai sunada sarki,,
4190,barka da cikar shekaru 41,,
4191,good   yayi kyau muna bayanka,,
4192,ya allah   kasa muyi kyakkyawan karshe,,
4193,wa alaikin salamu allah yayi miki jagora yakara dora ki hayya madaidaici,,
4194,ranma baki da matsala,,
4195,yar kirki kuma fa ta fahim ta yanxu,,
4196,allah ka yaye muna wannan masifu da suke damu mu ya allah kaje kan wayan da suka rasu,,
4197,gashinan kamar mai matsala   daman ance duk masu kokarin nan akwai alamun tambaya  allah ya kawo mai cigaba,,
4198,yassin har rungumeshi zanyi saboda irin burgeni da yake sannan zan nemi yakara kokarin sa akan matasa kay    ina kaunar gmb wlh ya allah kamaimaitamana abubuwan alkairi a kasar mu dattijon kwarai,,
4199,sarki ali nuhu we love you,,
4200,alhamdulillah  nice law  allah ya qarfafa musulunci da musulmai,,
4201,allah kayi mana magani ka bu shuwagabbani nagari ka albakarci nigeria,,
4202,allah yaqara daukaka sister  love you,,
4203,kutayani dubawa wannan ai ne ya amsani kuma mai masa fatan alheri da hash tag na  endbokoharambanditrynow  endsars amma kunce bai tareda matasa please kusinga bincike na kwarai kafin kuyi article,,
4204,tanemi afuwa da gafara awurin allah yafi allah yasa mudace,,
4205,allah yajikan malam  allah yakai haske kabarin malam jafar       duniyya abun tsoro ce  allah ka rabamu da ilimi mara amfani   wani ilimin dashi kwara jahillci,,
4206,allah ya kara kiyayewa  amma idan banda tsautsayi me zai kai bakin rijiya saboda allah,,
4207,allah ya kara basu nasara a koda yaushe,,
4208,nifah dana tawo i thought hawan sallah ake saboda yawan mutane   alhmfllh kedai mai sa a ce deedee,,
4209,allah yakyauta gaba allah subhanahu wata ala yakawomana karshen wannan ta addancin  allahvkawulakanta masuyin wannan ta addancin kawargaxa shirinsu ya rabb,,
4210,our leaders i hope you remember the day of judgement muna cikin mawuyacin hali allah ya kawo mana dauki ameen,,
4211,allahu akbar  allah ka saka maka  allah ka isarma  wannan cin mutun ci yayi yawa  wallahi wallahi sai kun ga abin ku  tunda ku kayi ma wannan bawan allah wannan cin zarafi  allah shi kara isarma,,
4212,allah ya kyauta sai mu ringa shiga jirgi kawai,,
4213,wa inna ilaihirraji un allah kaine gatan bawa allah kaduba bayinka allahumma ajirni fi musibati,,
4214,allah yakare alumarsa don alfarmar annabi,,
4215,wallahi irin makuden kudaden da ake kashewa wajen yin aure a wannan zamanin tsoro yake bani sai iyita tunanin waini zan samu dama yin auren kuwa  koko dai sai fatan allah yahadamu a daras salam,,
4216,allah ya sa a aiwatar bisa adalci,,
4217,ai anasan haka dama domin gyara,,
4218,lallai yasha sallama,,
4219,allah ubangiji  ya gafarta masa  yasa ya huta  ya baiwa  iyalansa  hakurin rashin sa   idan tamu tazo  muyi kyakykyawar makoma  rayuwa  babu  tabbas,,
4220,sai dai kuma ma rasa amfani ga                 yan qasar  ku kadai ne kuke taimakawa masu qaramin qarfi  allah ya saka da alkhairi aunty rahma,,
4221,wani abu sai turai allah ya kyauta gaba,,
4222,inna lillahi wa inna ilaihi raji un dalilin me  tunda mu dai ba mu san dalili ba  lpyr mu qlau muna kuma godiya ga allah  oh allah ga mu gare ka  wahalar lock down  in nan za a maida mu,,
4223,gyada mai sihiri ka bare kaga biyu ka murza kaga hudu ka busa kaga wata yar guguwa ta taso,,
4224,allah ya kara daukaka da girma,,
4225,babu mai sona a ce cuta tayadu sabida har shi sai ta shafe shi allah stare mu daga wannan annobar corona,,
4226,gaskiya da an taimakawa yayan talakawa,,
4227,allah muntuba allah mundawo xuwa gareka ya allah kamana tsari da wannan abu ya allah ka nisanta mu da ita ameen,,
4228,gaskiya wannan abin jajantawane  domin mutane da dama suna amfana da kamfanin allah ya maida masa da dubunsa  ameen,,
4229,congrats    when will you release it on dvd    madam ta dameni nasiyo mata,,
4230,yy kyau   sose,,
4231,congratulations   allah sanya alkhairi,,
4232,we sin a lot   allah gafarta mana gabadaya,,
4233,allah kanuna mana  arshen wannan abu,,
4234,yarnya mekyau kina raina,,
4235,allah ya karemu baki daya ameen,,
4236,allah yahuta gajiya nawan,,
4237,first time in history anyi abun kai,,
4238,allah yazada mana abinda yafi alheri,,
4239,allah ubangiji ya tabbatar da alkhairi   ya nuna muna rana,,
4240,ya naga suna kallon kauna ne,,
4241,allah ya jikan mallam abba kyari  bbc bakoda photo abba kyari shi saidai  sai da kuka hada dana aisha,,
4242,allah ya karawa wannan gari kariya da tsari da albarka,,
4243,ameeen ya allah  allah ya maimaita mana hajiya ramsy,,
4244,sadauz with out make up  tafi kyau ah swear,,
4245,allah ya amshi iba dunmu,,
4246,rahama kizo kano ki bude mana sadous home restaurant  ace har sai mutum yaje kd sannan  gsky yayi nisa      plxxx,,
4247,allah sarki libya  nasan a cike suke da nadama,,
4248,so beautiful cwthrt      i like u much n much darling      ina cikin wandon,,
4249,allah yaji kansa ya kuma gafar tamasa,,
4250,assalamu alaikum ina so nayi amfani da wannan dama domin na mika sakonta aziya gareka  alinuhu bisa reshin mahaifin ka da kayi ubangijin allah ya baku hakurin juriyan rashin da kukayi na mahaifi,,
4251,masha allah uban giji allah y kara karemu baki daya,,
4252,allah y karama lapia sir,,
4253,wannan da saura sai ya kawo world cup   gida tukunna insha allah,,
4254,allah yasa karshen sune yazo,,
4255,allah y kawo karshen su,,
4256,sarki mai                 zabari                 da                 qugiya                 allah ya kyautata makwanci,,
4257,allah yaja kwana yallaboi,,
4258,toh oga director   muna ma fatan alkhairi  ba mamaki gayyatar na nan tafe,,
4259,allah ya tayashiri ko ameeen,,
4260,allah sarki ubangiji allah ya gafarta wa abokina da sauran wa anda suka mutu acikin wannan ha arin,,
4261,aikin ka yayi kyau gandun aiki,,
4262,inna lillahi wa inna ilaihi raji un  again kuma dai   allah kai kasan dalili allah mun tuba allah ka takaita wadan nan masifu da ka jarrabi kasar mu da su,,
4263,alhamdulillah masha allah barakallahu feek  allah yakara mana son kur ani allah yabamu ikon aiki dashi  yakara mana son annabi muhammadu  s a w,,
4264,aya wannan abu yayi,,
4265,zan nima tuba daga allah  allah ya femun zubaina    da naiu baki daya  amin ya allah  no mai laifine ka yafemun   birahmatika ya arhamar rahimin,,
4266,ameen idan da gsky kake,,
4267,dakyau khadimul islam,,
4268,allah ya karama sarki lafia,,
4269,allah ubangiji yakara mishi lafiya,,
4270,allah ya isa domin ba za mu yafe irin taaddancin da boko haram ke yi ba a fadin nigeria da ma africa baki daya   ya allah muna tuwassali da kyawawan ayyukan mu da karka bar mu da dubarar mu ko wa,,
4271,ga baki ga hanci   wai    kyawu iya kyawu,,
4272,dagaske tsarin ki na yan rawa ne kawai  kuma fa kinyi kama da priyanka         allah ya jiqan chairman,,
4273,allah yasa zamani gdan da silva zaba ya dore,,
4274,allah kare daga masu zagi through your update,,
4275,allah ya kawo muso agajin gaggawa dan darajar annabi,,
4276,alhamdulillah muna murna da wannan mataki da mai girma gobna yadauka muna qara addu ar allah ya yayemana wannan annoba a fadin duniya bakidaya  roqon mu ga gobnaty dan allah abarmu my cigaba da s,,
4277,insha allah wataran nima zaabudemin inshiga harciki inga kabarin manzona mesona mai kaunata saurawani yamin banzan reply    pls only amin is allowed here,,
4278,a gaskiya bantaba ganin hausa series dayai kyan labarina ba every week da sabon abunda ze sakawa masu kallo shaukin ganin episode nagaba allah yakara basira babban director,,
4279,to ubangiji allah ya sanya hannu acikin wannan lamari ameen,,
4280,masha allah godiya muke mama saura daukar mataki,,
4281,ina rokon ganduje don allah  don annabi ya bar batun  kirkiro sabbin masarautu  kamar yadda kotu ta soke su    taba fadar kano  taba mu ne gaba daya  yan tijjaniyya ne da masoyanmu    shiekh da,,
4282,hahahahaha allah ya shirya ku bbc kun iya neman magana,,
4283,kinyi fresh my fah,,
4284,yauwa sarkin waka ka kyauta gwara haka alkur an basu isa kayi musu waka ba marasa daraja kawai,,
4285,inanillahi wa inna ilaihi raji un   allah ya jikan su da rahamar sa yasa aljannace makomar su dan alfarmar annabi muhammad s a w,,
4286,allah ubangiji ya kare musulunci da musilmi  allah ya kawo ma mutanen palestine agaji,,
4287,ansha kyau jaruma,,
4288,gsky munajin dadin shirin labarina allah ya kara fissheku kunyar yan kallo,,
4289,he usually use to say  engineer ya streaming kuwa nace yallabai yana yana tapia dai dai  allah ya sa ka aljanna,,
4290,sai tace rabin raina,,
4291,allah i m just doing as if wani ganewa nake,,
4292,alhamdulillah mugode wa allah,,
4293,korai kuwa ga mai rai zabe ya iso allah yasa mugani lokacin zaben ameen  ku duba jiya wasu mutane da suka mutu a rally zuwan jihar taraba yanxu fisabilillahi me suka samu banza ta kashe su  kuma,,
4294,shuwagabanninmu  mudai fatanmu  allah ubangiji ya shirya mana ku  domin wlh  allah  baku da imani  totally  kuma  sai allah s w a ya tambayeku  akan  abinda kuka shuka  na mulkalmu da kukai  ku d,,
4295,gsky ya fada ai,,
4296,wata sabuwa inji yan cha cha  toh allah ya hore muna abin saya,,
4297,9ce singer       allah ya kara basira,,
4298,masu kyau real madrid suke zuwa   lol,,
4299,gaskiya kun iya za an hoto,,
4300,allah yasa ba yakin giwaye za a sakeyi ba,,
4301,hhh so allah ya kaimu mu kwashi shoki,,
4302,mu dai ana yi muna gefe muna istigifari,,
4303,alhamdulillah                             allah ya qara duhun da zurfin rami  ameen yaa hayyu yaa qayyum,,
4304,allah ya kare yan uwa musulmai allah ya kare kasar mu nigeria allah duk wanda keda hannu kan lamarin boko haram allah ya kawar mn dashi allah dan soyyy mu da annabi muhammad da alfarmar wnnn wata,,
4305,slm yaya zamuyi musamu da mar kallon shirye shirye ku ta manhajar nagode dan allah bayani nake so,,
4306,allah y taimaka malan,,
4307,masha allah muna taya sabbin masarautunmu kamar da kuma murna da fatan allah ya daga likafarsu,,
4308,nice 1    bakwa jin azumin nan gaskia,,
4309,allah ya jikan shi da rahama  ya gafarta mai  ya kuma saa al jannah firdaus ta zamanto makomar shi  ameen,,
4310,wallahi  kuji tsoron allah,,
4311,maraba da zuwa,,
4312,allah akbar ubangeji ma daukakin sarki ya jadda rahamar sa ga mlm rahimahullah,,
4313,mu dai munyi ibadah kuma muna tare da allah,,
4314,magajin garin zazzau inshallah,,
4315,dafa dika mae kyau zazzafah,,
4316,hajjaju soyayyah dayane a ramadan din nan faa kawaiii kaga ramadan basket ehen     look forward to guys that are fasting in school,,
4317,amen amen don alfarma nabiyi saw,,
4318,irin wannan kyau  haka,,
4319,allah yagafar ramada,,
4320,koh kadan kun fadi gaskiya ne ai,,
4321,allah sarki rayuwa kenan allah ya kawo miki saukin rayuwa,,
4322,da gareka muke  tun damacan ga allah muke  kagayawa buhari yatuna allah ko saudayane  kagamai cewa ran mumini guda 1 yafi duniya da abunda ke cikinta domin ku kuka buda kuka karanta,,
4323,allah ka yafe mana laifukan mu,,
4324,muna godiya sai munzo cin cake,,
4325,wanan abun yafi karfin hukuma kuma muma yafi karfun mu  addu a ita kadai ce zata mana maganin wanan abun allah ka kare mu da kariyar ka  allah ka kawo mana karshen wanan abun,,
4326,kotu tayi gaskiya,,
4327,wallahi gaskia ba karya wutar lantarki a lagos agege local government muna samu at least 18hrs per day alhamdulillah,,
4328,muna godiya taska    allah y karo basira,,
4329,amma rungumeni mufadi kukai ko  to allah ya karo shekaru masu albarka happy birthday,,
4330,allah yayi musu rahama dan albarkacin manzon allah s a w,,
4331,nice picture jaruma,,
4332,allah sarki  wani a baya kawai salati yake,,
4333,allah ya tsare dukkan musulmai bakii dayah,,
4334,just for you real anty     wallahi babu wanda takai rahama wanka a twitter support 100,,
4335,allah ya shiryemu kawai    amma dai ki gyara cos bamajin dadin hk yana faruwa da rayuwarki   ki kare mutuncina  fact,,
4336,tabbbbb   don allah ku raba dani,,
4337,copy copy   he copy our governor   ganduje anyway  we support him       allah ya idda nufi ameen,,
4338,kamata yayi mudau tsawan lokaci mai yawan gaske muna yin yajin aikin  amman gsky wannan abin yayi kusa da yawa  kuma ina maibewa kungiyar nan shawara akan cewa yakamata a chanza tsarin wajan shig,,
4339,ramadhan creem sir  allah ya gafartamuna albarkacin ramadham creem,,
4340,gaskiya ne chief marketer naga kalaman nan,,
4341,wallahy kwalliyar ki  yayi rumfa dani,,
4342,aiki yayi kyau ganduje a bude mana mini stadium    a filin kawai,,
4343,abinda dariya wai yaro ya tsinchi hakori  abin tambaya anan shine ya akai suka ganoshi  wanda ya ajiye abu ai shi yasan inda yake  allah ya kyauta allah ya kare jahar mu da najeriya baki daya  ya,,
4344,ya ya gyara kasata nigeria    ya kawo mana kwaciyar hankalii da wadatar arzikii a ko ina,,
4345,mudai lokaci kawai muke jira mufara kashe kwarkwatar idon mu da shirin  labarina allah yakaimu lokacin ameen,,
4346,allah ya yafemata,,
4347,allah ke san ki ba mutanen gari ba,,
4348,uhmmm allah ya shirya,,
4349,allah yajikan iyayen   a zamfara sai murna akeyi,,
4350,mallam director wannan dan kawalin fa kamar dan kawalin babar sumayya  kodai ajjiye mata shi tayi har sai da ta girma sannan ta bata     kai amma wannan dan kawalin fa yasha ajiya  har shekaru 20,,
4351,allahu ahkbar ina mai rokon allah da mafificin sunayenshi na al hayyu da al qayyumu yakai rahama kabarin malam alfarman wannan wata na ramadhan,,
4352,fatan mu dai allah zaunar mana da kasa lafiya  masu zanga zanga kuma allah basu hakuri  tashin hankali baya kawo mafita ko yaushe,,
4353,subhanallah  ya allah ka cecemu,,
4354,allahu karbar rahama wlh kimakin sankinfi kyau ahaka allah yakara shiryamu,,
4355,allah ya jikanshi yasa aljanna ce makoma    gaskiya yakamata nigeria ta dau kwakwaran matakai wajan kulawa da harkar sufurin jirgin sama   don abun kwai alamun sakaci a ciki,,
4356,allah ya gafarta mata   yasa mutuwa hutuce agareta,,
4357,allah ya sauke wlhy,,
4358,allah ya sanya alheri yabaku zaman lfy,,
4359,allah yaqara maka lafiya baba ibb ashe kune masoya arewa bamusani    yanda muka rinqa zaginka a baya wallahi rashin sanine dan allah kayi hakuri allah yasa kagama lafiya,,
4360,innalillahi wa inna ilaihirrajiun  allah yai mana sauki da rangwame allah ya yafe mana zunubai kurakurai da dukkan gangancin mu    amn,,
4361,wanna abu din muna bawa kammu wahala ne amma kutina allah ya turo mana da shugabamu annabi mu dan haka kowa ya koma qur ani koh hadisi amma wanna maganganu ba naku bane shi musulmi komi nashi yan,,
4362,allah jiqansu da rahama    na now your talking     securearewa,,
4363,congregations aikuna kokari shirye shiryen ku akwai ilimantarwa d nishadantarwa allah y kara daukaka,,
4364,sabuwar kungiya is lording allah yakiya musulman duniya,,
4365,fatan ka tashi lafiya,,
4366,allah yasaka ma mal nasiru da alkhairi,,
4367,hhh     allah y kiyaye,,
4368,congratulations my lovely sister sahama ibrahim sadau allah yakara miki daukaka ameen summa ameen from real yahaya muhammed from saudiyya,,
4369,allah yasa da gaske kake  kuma allah ya baka ikon yin gaskiya,,
4370,allah yaji kan mazan jiya                     tafawa balewa ya san za a kashe shi,,
4371,wannan itace jaruma ta,,
4372,innalilah allah ya baku mafita,,
4373,kayi dai dai likimo,,
4374,kinyi kyeu sosai baby na,,
4375,nima inaso gsky ammafa banada ko naira saide kumani  handsome ne gsky,,
4376,favourite barka da sallah,,
4377,babban darakta dan allah ina zan sami wakili,,
4378,an samu ragon 1 5 a yanki gwarinpa,,
4379,uhm   wannan shiri dai allah yasa karsu maidamu lock   down,,
4380,allah kayima duk kan wani tsanani,,
4381,amincin allah yaqara tabbata agareka sister allah ya karbi ibadunki da nawa dan annabi muhammadu  s a w  barka da sallah da fatar kinyi sallah lafiya allah yasa haka ameen,,
4382,gaskiya ne  babban darekta,,
4383,aure nakeso fah duk idan naga irinku,,
4384,a hada mana babban event mana auny a  sadauzhome,,
4385,alhamdulillah muna cikin farin,,
4386,mu ae babu ranar da ba ranar uwa bace duk wanda yayi rashin mahaufiya yayi masoyiyya kuma har abada bazai qara samun soyayya ta tsakani da allah allah kajiqan   iyayinmu intamu tazu kasa mu cika,,
4387,happy birthday     shekaru masu albarkah,,
4388,bakomi akwai allah yanaji yana gane  allah zai kawo musu mafita  insha allah,,
4389,allah ya yafe mana gaba daya ameen thumma ameen,,
4390,ameen kuma ya bani ikon haduwa dake idan kinzo kinkinau gidan washa   last time i missed  which was during eid festival    more greatness sadau,,
4391,allahumma innaka afuwun tuhibbun afuwa afu anni,,
4392,ko da mai kazo anfika,,
4393,allah ya jikan shrk jafar ya kai haske kabari sa   innamu yazu allah ya sa mucika da imani ameen,,
4394,ni full din maryam a birni nakeso ku haska,,
4395,allaah ya gafarta maka gamji  an kwarai  ahmadu bello sardaunan sokoto  najeriya tayi asarar gwarzo,,
4396,ameen yarabbil alamina   allahumma gafirlahu warahamhu warahamana ba adaha allah yakyauta tamu bayan tasu allah yayimasa rahama bijahi sayyaduna rasulillahi,,
4397,kullu nafsin za ikatul maut dukkan mai rai mamaci ne ubangiji allah yaji kansa da rahama yasa ya huta,,
4398,allah ya biya muna godia sosai malam,,
4399,babu kome a iya sakin sa amma kuma idan an bada belinsa anan to a lahira fa  idan babu nan akwai can a duniya ne kawai ake alfarma amma a lahira sai hali sai sallah  allah kasa munadaya daga yint,,
4400,to madallah kawai abasu,,
4401,ameen thumma ameen    mu kuma allah y karemu,,
4402,yasin naso nayi ashar amma tunda kunce banda ashar na haqura allah yakar6i ibadodinmu,,
4403,allah ya mallakamin tashar bbc na har abada,,
4404,allah ne masani,,
4405,insha allah baba kaikeda nasara ai imanin da yy da allah ne yasa yace shi xaici dan yasan ubangijinsa baxai kunyatashi  have faith in allah nd he will never let u down,,
4406,allah sarki talaka bawan allah  koma nawane allah yabamu abinsaya,,
4407,kai masha allah  wallahi abu yayi kyau  hausa ba dabo ba  allah yakara daukaka harshen nan mai albarka  jinjina da sarkin yaki da mai gida bangon sikari,,
4408,inna lillahi wa inna ilaihi raji ooon      what a big lost   allah ubangiji ya masa gafara ya kuma sanyya aljanna ta xame masa masauki  ya kuma bamu wanda xai maye mana gurbinshi     tabbas mun y,,
4409,more win hajiya rahama,,
4410,mashallah   allah kara tsare mana yan uwan mu  musulmai,,
4411,1 rana fitilar allah 2  rana mai rabama kowa aiki 3  rana mai haska mutun kowa babanai 4  rana fitilar duniya ko baka so sai ta haska ma 5  rana mai ikon allah ki fito yau ki fito gobe  allah mun,,
4412,babu shugaba da ya kai baba buhari gaskiya da tausayin talakawa  cigaba da gashi tsoho dan daura,,
4413,masha allah aikin malam yy kyau,,
4414,allah ya jikan malam yasa yana aljannatul firdaus,,
4415,allah yasa ba wayache kuchimu bane,,
4416,sarki da kansa,,
4417,inna lillahi wa inna ilaihi raji un  allah kawo mana dauki a wannan jiha tamu ta zamfara dama kasa baki daya,,
4418,mutumiyar kirki  mai daraja,,
4419,to ke er tuwo tuwo wai yau ta ina zamu hade ne   my hunger for you is heating up wollah so where we gonna meet  alawan zuciya na,,
4420,allah shi biya musu da gidan aljanna amen  ka gani yanda allah yake ikonsa kaqi naka allah shi soshi,,
4421,haba ae baba buhari yayi kokari matuka,,
4422,masha allah yayi daidai allah yasamudace,,
4423,woow very nice pic may best actress allah ya nuna mana lokacin    rahma idan nayimiki mgn bakya reply  i will cry,,
